wav_filename,wav_filesize,transcript
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-2077220-2080669.wav, 93518, и дальше уже начинается тотальная мировоззренческая
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1003389-1006040.wav, 37838, и с политикой и с бизнесом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-27770-30740.wav, 90638, они всем обязаны что так его и не построили это
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-154940-160530.wav, 178958, это нам напоминает грядущее коммунистическое будущее
/Users/gosha/Projects/youtube-audio-captions-parsing/data/xsJ2MCOdKzo/parts/xsJ2MCOdKzo-5759-7919.wav, 58958, миллиардеры которые на народные деньги
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dZHcmS01HwM/parts/dZHcmS01HwM-101332-104590.wav, 74638, занимаетесь уже давно и судя по тому что вы смотрите
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-247469-249689.wav, 40718, потому что когда ты говоришь людьми
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-2053040-2056070.wav, 79118, это было неслучайно потому что кальман был наверное
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-429979-432949.wav, 93518, потом скрынник сейчас сегодня росстат но
/Users/gosha/Projects/youtube-audio-captions-parsing/data/de0vrVFCVCg/parts/de0vrVFCVCg-62363-70113.wav, 164686, ещ в году около разработчиков из различных компаний вносили свой вклад в развитие ядра linux
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-419600-425260.wav, 177358, лучше быть здоровее помочь семье но он всетаки не не здесь главные ценности он разврнут вовне
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-363889-366300.wav, 77198, то что говорю я не соглашусь до этого лица
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-593120-596460.wav, 106958, всем богатством потому что после ххii съезда партии
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ApbeWw5YC5g/parts/ApbeWw5YC5g-25910-29801.wav, 107278, питания под марками нескафе киткат несквик магги
/Users/gosha/Projects/youtube-audio-captions-parsing/data/GxreR3Edaq0/parts/GxreR3Edaq0-138120-140510.wav, 74318, постиг страшный конец
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-624520-626920.wav, 70158, на корабле кеша двух разных сериях
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SWdYPaVpxMw/parts/SWdYPaVpxMw-140320-143040.wav, 76238, подводный гольф я сделаю это
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-849130-852490.wav, 88398, других а браслеты по завышенной цене настолько что в десятки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TWFzWRoVNnE/parts/TWFzWRoVNnE-189300-191640.wav, 56398, и можете в некоторых случаях менять насадки на радиаторах
/Users/gosha/Projects/youtube-audio-captions-parsing/data/iWbdKKFnFpg/parts/iWbdKKFnFpg-841741-843182.wav, 46190, для того чтобы удержать рынок
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-528430-531750.wav, 90958, или если дороги замело снегом то лучше будет воспользоваться
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1173080-1178050.wav, 154638, и неслучайно когда мы сегодня видим что происходит математизация
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-312060-314560.wav, 73678, ведущая говорим без ошибок филолог марина королва
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-473990-477460.wav, 111118, падение рубля там торги приостанавливали
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-902950-904490.wav, 37838, предприятии тоже национальности можем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/suRhiIQwTGM/parts/suRhiIQwTGM-116220-125340.wav, 196686, зомби карусель зомби зомбизомби карусель зомби карусель
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-254890-259910.wav, 156878, которые будут мыслить государственными категориями какими бы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/gTS2B2G9MdA/parts/gTS2B2G9MdA-127649-131550.wav, 78798, на отдыхе на работе на даче семейное видео
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-326230-331280.wav, 62478, а в другом случае гостите вы например в деревне
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1054970-1060830.wav, 95118, оказалось что протяженность роста
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-50079-53759.wav, 77838, доминирование но при этом признают универсальное значение ценности этого порядка
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-1071679-1078940.wav, 196686, многие его не любят за излишнюю резкость может хамоватость
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-671250-676600.wav, 145358, царь сказал одну фразу всю казну на войну рука мощная такая
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-537840-540480.wav, 71438, осторожно это акула
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2214500-2219500.wav, 141838, некоторые говорили мы бы хотели сохранить его как небольшой проект для себя
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1269840-1273000.wav, 81038, не увидим что суда
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-327040-330880.wav, 39118, может быть она там
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-628000-632000.wav, 55758, вроде gnu для клонов at и
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ByDhrmEo2h4/parts/ByDhrmEo2h4-234989-240470.wav, 169038, знаю так над русью издеваться измените это это уже перебор
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1918000-1923000.wav, 112398, но наиболее важного компонента попрежнему не хватало ядра
/Users/gosha/Projects/youtube-audio-captions-parsing/data/_ZOr2t8rm8k/parts/_ZOr2t8rm8k-236160-239160.wav, 60238, вы можете найти в сети следующую информацию
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ApbeWw5YC5g/parts/ApbeWw5YC5g-82230-85660.wav, 100878, сигарет marlboro parliament bond chesterfield lampm и многих
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-798200-799850.wav, 52878, вокруг что там и равно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-497190-502550.wav, 103438, способами вызвать такси поехать на личном автомобиле
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-82210-85500.wav, 74958, музыку почитать новости в интернете или отредактировать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1604530-1605530.wav, 32078, существует
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-229140-233820.wav, 148878, и вот чумазые эти возглавляемые буржуазией стали готовиться
/Users/gosha/Projects/youtube-audio-captions-parsing/data/rvFEHJeSGvA/parts/rvFEHJeSGvA-87302-90580.wav, 101454, идея конечно удачная ведь россия должна знать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/7wVDvFATuyE/parts/7wVDvFATuyE-119020-122620.wav, 114958, гуси мои гуси
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-712440-715070.wav, 77198, но это вс мелочь а вот покрупному было так вы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-612740-615150.wav, 64078, моментально зачищен информационная поляна
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-817220-819390.wav, 51278, что понимаю что скоро будет впервые приедут
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-730950-733860.wav, 93198, те в этом смысле метод неотделим от познания этого
/Users/gosha/Projects/youtube-audio-captions-parsing/data/2fY9QdZg1Rk/parts/2fY9QdZg1Rk-115180-116820.wav, 52558, тогда есть вероятность потерять
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-257320-260389.wav, 94798, парнокопытные и тд членистоногие
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1328860-1330530.wav, 50958, на то что то в своем twitter написал про
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-646840-649560.wav, 57358, спасаев вот это да и я тоже вот так совпадение
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-29230-36390.wav, 185166, глобалистов россии документ был опубликован накануне и вызвал бурное обсуждение в сми так по мнению авторов
/Users/gosha/Projects/youtube-audio-captions-parsing/data/rvFEHJeSGvA/parts/rvFEHJeSGvA-20230-24440.wav, 128398, на новую передачу от телеканала карусель и при поддержке
/Users/gosha/Projects/youtube-audio-captions-parsing/data/2fY9QdZg1Rk/parts/2fY9QdZg1Rk-11160-12800.wav, 46478, и получать от этого проценты
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TWFzWRoVNnE/parts/TWFzWRoVNnE-437315-439685.wav, 65358, вариантах набора х канального режима
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-474880-482000.wav, 129038, тимати спят усталые игрушки книжки спят
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-149209-151760.wav, 65038, подругу мы же говорим шустрых мужем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-277509-278509.wav, 32078, он не профессор
/Users/gosha/Projects/youtube-audio-captions-parsing/data/K4OOi9kLVTM/parts/K4OOi9kLVTM-265940-270040.wav, 69838, но призыв к свержению вора не последовал
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-897000-901000.wav, 118798, то вы должны сделать доступными и бесплатными эти изменения
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1337530-1339570.wav, 48718, точности как отказался но я считаю
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-1289710-1291960.wav, 69518, потому что непосредственными преемниками пифагорейцев
/Users/gosha/Projects/youtube-audio-captions-parsing/data/jiGK9x4Infg/parts/jiGK9x4Infg-82100-87380.wav, 132558, я закован в его полотне словно в плавящемся стекле
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-608190-611650.wav, 88078, хотела управлять всей страной а потом они встаки передрались
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-1604000-1611000.wav, 173326, меня заставили попробовать себя в качестве рекламного плаката для linux
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-694350-698110.wav, 97038, как деньги приносящие прибыль это все ставится во главу
/Users/gosha/Projects/youtube-audio-captions-parsing/data/vhzNlErRU4I/parts/vhzNlErRU4I-15540-20620.wav, 155278, аркадий паровозов спешит на помощь именно так называется детский нравоучительный мультсериал который мы рассмотрим в этом видео
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dFXJ7UrzRiQ/parts/dFXJ7UrzRiQ-778710-781300.wav, 41678, как она функционирует естественным путем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/5u5NBfEh5so/parts/5u5NBfEh5so-32520-35480.wav, 51918, источником финансирования выгнали ахмада из машины
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-1095759-1099919.wav, 129998, что такое государство это орган класса это машина
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-679970-684839.wav, 140558, так вот капитализм это система отношений в которой
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1086440-1091260.wav, 108878, но увы нет калуга кто то конкретного
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0_qE9m8PDxw/parts/0_qE9m8PDxw-40200-44800.wav, 126158, as a result of peoples will and not as a result of the efforts of the russian bureaucracy
/Users/gosha/Projects/youtube-audio-captions-parsing/data/2fY9QdZg1Rk/parts/2fY9QdZg1Rk-86720-88680.wav, 52878, и пока будет выплачивать проценты
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-792890-797260.wav, 130958, лучше жуликам отдать лишь бы только были они добросовестные
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-1099919-1101980.wav, 47118, насилия в интересах господствующего класса
/Users/gosha/Projects/youtube-audio-captions-parsing/data/SOVrFAYsnWk/parts/SOVrFAYsnWk-73700-74700.wav, 32078, да
/Users/gosha/Projects/youtube-audio-captions-parsing/data/K4OOi9kLVTM/parts/K4OOi9kLVTM-788680-791340.wav, 36238, расстреляют снайперы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/MDMeXR0O0RU/parts/MDMeXR0O0RU-309190-312520.wav, 72398, не нравится а сектором
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-57960-60060.wav, 61198, одной из первых кукол в шоу был буратино
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-1114399-1116520.wav, 46478, девать было непонятно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dZHcmS01HwM/parts/dZHcmS01HwM-151810-154670.wav, 83278, то чем занимается компания cheaphome компания cheaphome
/Users/gosha/Projects/youtube-audio-captions-parsing/data/M4KrgFwfViM/parts/M4KrgFwfViM-158280-160680.wav, 44878, это же так просто
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-11860-13020.wav, 37198, а я же уже сказал про фильмы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ByDhrmEo2h4/parts/ByDhrmEo2h4-13746-16560.wav, 86798, вы не ходите а можете объяснить почему
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Qy0E84W2LIk/parts/Qy0E84W2LIk-46837-49369.wav, 81102, и давайте зайдм в эту папку
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-949210-953230.wav, 61838, не прогибается ни под чем вс что входит во взаимодействие
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-95710-97689.wav, 63406, запугивания и раны кндр
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-812060-813740.wav, 53838, от того сколько и заявит и какое
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1195190-1197850.wav, 72398, страны поэтому это факты ни одного
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-2038620-2041330.wav, 84558, кальмана которая как вы знаете полностью изменила
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-420120-422120.wav, 64078, а натыкались ли вы на чтонибудь запредельно адовое
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-54409-57391.wav, 74958, помогающая доказывать свою правоту те техника
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-2162500-2168500.wav, 142478, те же люди которые потратили годы на презрительные насмешки над свободным программным обеспечением
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-688380-691690.wav, 81358, потом ещ в отпуск и оплачивали потом ещ в отпуск
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1246650-1248870.wav, 44878, приходит тут же карл булла
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-375690-381280.wav, 178958, в ситуации с linux пользователя нередко отталкивает наличие
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-121890-123740.wav, 34958, а вот картинки это красота
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TWFzWRoVNnE/parts/TWFzWRoVNnE-611500-615120.wav, 107598, все те о которых я сказал будут поддерживать х канальный режим работы памяти
/Users/gosha/Projects/youtube-audio-captions-parsing/data/CQHHwqfWxkY/parts/CQHHwqfWxkY-137440-139660.wav, 64398, гена итак поехали
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-52769-56469.wav, 68238, и вот я думал на какой основе е разрабатыватьто
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ypEPe5Ii3Aw/parts/ypEPe5Ii3Aw-534400-538000.wav, 98318, представьте если бы вы навсегда ограничили себя
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ckTTfOuYQzg/parts/ckTTfOuYQzg-96020-97800.wav, 57038, а ты артм хорошо разбираешься
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-376229-378979.wav, 88078, в современном обществе ни та что открыл их борьбу
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-206010-208680.wav, 44878, сферы в образовании дагестане
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-656899-659970.wav, 93838, но ведь тут же сразу возникает вопрос что золотой унитаз
/Users/gosha/Projects/youtube-audio-captions-parsing/data/xsJ2MCOdKzo/parts/xsJ2MCOdKzo-118479-122179.wav, 110158, ничего не красть как иногда это делают
/Users/gosha/Projects/youtube-audio-captions-parsing/data/b0mAX0gI1Dg/parts/b0mAX0gI1Dg-343940-345940.wav, 50638, а ученики представляют из себя дешвые хмерные модельки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-994810-999660.wav, 150158, валового продукта и сверх этих ничего распределить
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-634900-636260.wav, 43598, надо лучше работать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0-Fv1jt1SkI/parts/0-Fv1jt1SkI-347880-350600.wav, 67278, или трудно согласиться с этой позиции потому что
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-765241-768500.wav, 104366, лучше пусть он мне даст два тогда он получит
/Users/gosha/Projects/youtube-audio-captions-parsing/data/CQHHwqfWxkY/parts/CQHHwqfWxkY-18740-20820.wav, 66638, ветер бьет в лицоо
/Users/gosha/Projects/youtube-audio-captions-parsing/data/XMm0HsmOTFI/parts/XMm0HsmOTFI-348000-352000.wav, 82958, мы даже спорим через интернет похожим образом
/Users/gosha/Projects/youtube-audio-captions-parsing/data/v0RC9Y9cdTw/parts/v0RC9Y9cdTw-773470-776920.wav, 80718, храмов отсюда связь религии магии и ростовщичества
/Users/gosha/Projects/youtube-audio-captions-parsing/data/kTMpsz15IZ0/parts/kTMpsz15IZ0-140700-141819.wav, 35886, банка
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-640840-643620.wav, 89038, ну то есть золотой унитаз не прокатит
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-620050-624790.wav, 129038, а впоследствии уже не в соответствии с трудовым
/Users/gosha/Projects/youtube-audio-captions-parsing/data/N3gg_LfI-2A/parts/N3gg_LfI-2A-374020-378729.wav, 138606, организму надо для роста здоровья энергии и всякое
/Users/gosha/Projects/youtube-audio-captions-parsing/data/6H8c_i-_hq0/parts/6H8c_i-_hq0-104020-105640.wav, 47438, в общем описывать это нет смысла
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-602680-606180.wav, 87438, такая совместная диктатура вот все эти управленцы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/jiGK9x4Infg/parts/jiGK9x4Infg-65360-68340.wav, 60878, где по тонкому льду все бегут дней твоих поезда
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-41930-47290.wav, 49998, но известная для скептицизма у многих товарищей присутствует
/Users/gosha/Projects/youtube-audio-captions-parsing/data/ByDhrmEo2h4/parts/ByDhrmEo2h4-100369-104420.wav, 126798, моему коту что заранее понятно ну нет альтернативы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-1237520-1240140.wav, 78798, надо компании так что сами становятся комика
/Users/gosha/Projects/youtube-audio-captions-parsing/data/dZHcmS01HwM/parts/dZHcmS01HwM-19500-23320.wav, 73998, вам то есть не нужно когда вы допустим гдето услышали
/Users/gosha/Projects/youtube-audio-captions-parsing/data/Wxo9hl3vTRw/parts/Wxo9hl3vTRw-960020-962370.wav, 75278, из этого определения выходит что бытие это любая форма
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-606180-608190.wav, 55438, элита как они сейчас про себя говорят вот эта элита
/Users/gosha/Projects/youtube-audio-captions-parsing/data/YPQ23er1Mjg/parts/YPQ23er1Mjg-1149350-1152730.wav, 108238, они гдето в грязи работали ничего они не получили
/Users/gosha/Projects/youtube-audio-captions-parsing/data/REUbAx0-kg8/parts/REUbAx0-kg8-243370-245019.wav, 33678, на культуру не должно быть никакой
/Users/gosha/Projects/youtube-audio-captions-parsing/data/DahoCvAXIT0/parts/DahoCvAXIT0-272480-273878.wav, 44814, что при пожаре в самолете
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-72680-73980.wav, 41678, хрюша и оксана да да ещ есть
/Users/gosha/Projects/youtube-audio-captions-parsing/data/TOEnTB-7tlI/parts/TOEnTB-7tlI-128280-131660.wav, 102158, валуев рассказывал в передаче о том как стать спортсменом
